thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Instruction.started,instruction.started,instr_resp.started,Instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,visual_2.started,Fixation_1.started,polygon_2.started,resp.started,Fixation_1.stopped,visual_2.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,Audio.started,Fixation_2.started,sound_1.started,key_resp.started,Fixation_2.stopped,sound_1.stopped,Audio.stopped,trials_3.key_resp.keys,trials_3.key_resp.rt,trials_3.key_resp.duration,trials_2.resp.keys,trials_2.resp.rt,trials_2.resp.duration,trials_4.key_resp.keys,trials_4.key_resp.rt,trials_4.key_resp.duration,Thank_you.started,text.started,text.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01387530006468296,0.03131120000034571,0.03131120000034571,4.394641400082037,space,4.274872099980712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
0,0,0,space,0.2624144998844713,None,,,,0,0,0,0,,,,,,,,,,,,,4.413747800048441,,,,,,,,,4.394976899959147,4.413747800048441,5.398410000139847,5.398410000139847,5.41486439993605,5.666175100021064,space,0.2624144998844713,None,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
1,0,1,space,0.22985380003228784,None,,,,1,0,1,0,,,,,,,,,,,,,5.682208900107071,,,,,,,,,5.666403300128877,5.682208900107071,6.665447799954563,6.665447799954563,6.682192400097847,6.902016600128263,space,0.22985380003228784,None,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
2,0,2,space,0.16033029998652637,None,,,,2,0,2,0,,,,,,,,,,,,,6.915242500137538,,,,,,,,,6.902364100096747,6.915242500137538,7.915646600071341,7.915646600071341,7.915646600071341,8.082833300111815,space,0.16033029998652637,None,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
3,0,3,space,0.12187770009040833,None,,,,3,0,3,0,,,,,,,,,,,,,8.098787700058892,,,,,,,,,8.083094900008291,8.098787700058892,9.083662500139326,9.083662500139326,9.100274899974465,9.215755400015041,space,0.12187770009040833,None,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
4,0,4,space,0.1210916000418365,None,,,,4,0,4,0,,,,,,,,,,,,,9.231777400011197,,,,,,,,,9.21595330000855,9.231777400011197,10.216162200085819,10.216162200085819,10.23204190004617,10.349915800150484,space,0.1210916000418365,None,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
5,0,5,space,0.09077530005015433,None,,,,5,0,5,0,,,,,,,,,,,,,10.364681400125846,,,,,,,,,10.350125500001013,10.364681400125846,11.36525829997845,11.36525829997845,11.36525829997845,11.467278799973428,space,0.09077530005015433,None,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
6,0,6,space,0.17748229997232556,None,,,,6,0,6,0,,,,,,,,,,,,,11.481797400163487,,,,,,,,,11.467649800004438,11.481797400163487,12.465926800156012,12.465926800156012,12.482065400108695,12.649427500087768,space,0.17748229997232556,None,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
7,0,7,space,0.16930149984546006,None,,,,7,0,7,0,,,,,,,,,,,,,12.665125200059265,,,,,,,,,12.649623099947348,12.665125200059265,13.664263000013307,13.664263000013307,13.664263000013307,13.849605800118297,space,0.16930149984546006,None,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
8,0,8,space,0.20666630007326603,None,,,,8,0,8,0,,,,,,,,,,,,,13.86456899996847,,,,,,,,,13.849916900042444,13.86456899996847,14.84961080015637,14.84961080015637,14.865397199988365,15.066179499961436,space,0.20666630007326603,None,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
9,0,9,space,0.0580313999671489,None,,,,9,0,9,0,,,,,,,,,,,,,15.081236399943009,,,,,,,,,15.066498900065199,15.081236399943009,16.06552550010383,16.06552550010383,16.081646300153807,16.13279760000296,space,0.0580313999671489,None,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
10,0,10,space,0.1526395999826491,None,,,,10,0,10,0,,,,,,,,,,,,,16.148608300136402,,,,,,,,,16.13315050001256,16.148608300136402,17.131688100052997,17.131688100052997,17.14898520009592,17.29948789998889,space,0.1526395999826491,None,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
11,0,11,space,0.17167939990758896,None,,,,11,0,11,0,,,,,,,,,,,,,17.314737600041553,,,,,,,,,17.299786699935794,17.314737600041553,18.299531900091097,18.299531900091097,18.316475300118327,18.4825977999717,space,0.17167939990758896,None,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
12,0,12,space,0.14700830006040633,None,,,,12,0,12,0,,,,,,,,,,,,,18.4978420000989,,,,,,,,,18.482888499973342,18.4978420000989,19.481868900125846,19.481868900125846,19.498770999955013,19.632906100014225,space,0.14700830006040633,None,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
13,0,13,space,0.17417289991863072,None,,,,13,0,13,0,,,,,,,,,,,,,19.648474500048906,,,,,,,,,19.633151000132784,19.648474500048906,20.649661700008437,20.649661700008437,20.649661700008437,20.83293840009719,space,0.17417289991863072,None,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-08_17h43.04.804,Cross-Modal Reaction Time Task,,2025.1.1,60.08138626403041,2025-11-08 17h43.54.650683 +0530,
