delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation_2.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.7,1000,exp,0,0,0,space,1.5335362,None,"400 
",1,[6.367743599927053],[6.36774929985404],0,0,0,5,0.0222379,,0.0155817,0.0222379,1.0057956,1.0057956,1.0223087,2.5487284,space,1.5335362,None,2.5495745,0.7084914,1.0077623,3.5675984,3.5856592,3.6049932,3.6049932,3.6049932,9.972985,"400 
",1,[6.367743599927053],[6.36774929985404],1,1,2025-11-10_19h29.58.986,Intentional Binding,,2025.01.01,60.20719701,2025-11-10 19h30.07.139601 +0530
0.1,400,unexp,1,1,0,space,1.7391568,None,200,1,[4.268346600001678],[4.268353600054979],0,1,1,0,9.9891608,,9.9731466,9.9891608,10.9738186,10.9738186,10.9898407,12.7238628,space,1.7391568,None,12.7247279,0.0995553,0.3995782,13.1392694,13.1402385,13.155093,13.155093,13.155093,17.4236621,200,1,[4.268346600001678],[4.268353600054979],1,1,2025-11-10_19h29.58.986,Intentional Binding,,2025.01.01,60.20719701,2025-11-10 19h30.07.139601 +0530
0.7,1000,exp,2,2,0,space,0.410108,None,100,1,[2.2525605999398977],[2.2525712999049574],0,2,2,8,17.4393108,,17.4238289,17.4393108,18.4390866,18.4390866,18.4390866,18.8582589,space,0.410108,None,18.8594413,0.7147282,1.0149322,19.8914194,19.8924391,19.9049173,19.9049173,19.9049173,22.1578774,100,1,[2.2525605999398977],[2.2525712999049574],1,1,2025-11-10_19h29.58.986,Intentional Binding,,2025.01.01,60.20719701,2025-11-10 19h30.07.139601 +0530
0.4,400,unexp,3,3,0,space,0.930926,None,400,1,[2.850530199939385],[2.850540899904445],0,3,3,1,22.1729083,,22.1582419,22.1729083,23.1729042,23.1729042,23.1729042,24.1075352,space,0.930926,None,24.1082433,0.3994836,0.7302036,24.8378799,24.8386354,24.8555036,24.8555036,24.8555036,27.7063672,400,1,[2.850530199939385],[2.850540899904445],1,1,2025-11-10_19h29.58.986,Intentional Binding,,2025.01.01,60.20719701,2025-11-10 19h30.07.139601 +0530
0.1,1000,exp,4,4,0,space,1.2088355,None,200,1,[3.5355767998844385],[3.5355865999590605],0,4,4,9,27.7225942,,27.7065762,27.7225942,28.7066053,28.7066053,28.7230288,29.9237111,space,1.2088355,None,29.9246328,0.0991411,0.3989122,30.3324052,30.3333929,30.3548455,30.3548455,30.3548455,33.8907425,200,1,[3.5355767998844385],[3.5355865999590605],1,1,2025-11-10_19h29.58.986,Intentional Binding,,2025.01.01,60.20719701,2025-11-10 19h30.07.139601 +0530
0.1,1000,exp,5,5,0,space,2.3146403,None,200,1,[2.5196682000532746],[2.519681500038132],0,5,5,6,33.9061217,,33.8910005,33.9061217,34.8904343,34.8904343,34.9063241,37.2071198,space,2.3146403,None,37.2085073,0.114907,0.4160436,37.6423965,37.6433127,37.6543992,37.6543992,37.6543992,40.1744656,200,1,[2.5196682000532746],[2.519681500038132],1,1,2025-11-10_19h29.58.986,Intentional Binding,,2025.01.01,60.20719701,2025-11-10 19h30.07.139601 +0530
0.1,1000,exp,6,6,0,space,0.3508862,None,100,1,[4.950974100036547],[4.950989299919456],0,6,6,3,40.1899842,,40.1747848,40.1899842,41.1885492,41.1885492,41.2050984,41.5559708,space,0.3508862,None,41.5564868,0.0992654,0.4001323,41.9686369,41.9698758,41.988559,41.988559,41.988559,46.9399304,100,1,[4.950974100036547],[4.950989299919456],1,1,2025-11-10_19h29.58.986,Intentional Binding,,2025.01.01,60.20719701,2025-11-10 19h30.07.139601 +0530
0.7,1000,exp,7,7,0,space,0.3725752,None,700,1,[2.4183523000683635],[2.418368099955842],0,7,7,11,46.9567289,,46.9401924,46.9567289,47.9554206,47.9554206,47.9722367,48.3397991,space,0.3725752,None,48.3410135,0.6995192,0.9995959,49.3577425,49.3589965,49.3708093,49.3708093,49.3708093,51.7894972,700,1,[2.4183523000683635],[2.418368099955842],1,1,2025-11-10_19h29.58.986,Intentional Binding,,2025.01.01,60.20719701,2025-11-10 19h30.07.139601 +0530
0.4,1000,exp,8,8,0,space,0.9322932,None,400,1,[3.3845873000100255],[3.3845976998563856],0,8,8,4,51.8061039,,51.7897466,51.8061039,52.7894165,52.7894165,52.8056928,53.7234491,space,0.9322932,None,53.7243026,0.3993702,0.6997707,54.4427801,54.4438715,54.4717739,54.4717739,54.4717739,57.8566809,400,1,[3.3845873000100255],[3.3845976998563856],1,1,2025-11-10_19h29.58.986,Intentional Binding,,2025.01.01,60.20719701,2025-11-10 19h30.07.139601 +0530
0.4,1000,exp,9,9,0,space,0.3022243,None,300,1,[2.6189325000159442],[2.618943399982527],0,9,9,10,57.8726012,,57.8572133,57.8726012,58.8560477,58.8560477,58.8721825,59.1723637,space,0.3022243,None,59.1729115,0.4005782,0.7008103,59.8897942,59.8906877,59.90426,59.90426,59.90426,62.523518,300,1,[2.6189325000159442],[2.618943399982527],1,1,2025-11-10_19h29.58.986,Intentional Binding,,2025.01.01,60.20719701,2025-11-10 19h30.07.139601 +0530
