thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Instruction.started,instruction.started,instr_resp.started,Instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,visual_2.started,Fixation_1.started,Fixation_1.stopped,polygon_2.started,resp.started,visual_2.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,Audio.started,Fixation_2.started,Fixation_2.stopped,sound_1.started,key_resp.started,sound_1.stopped,Audio.stopped,trials_3.key_resp.keys,trials_3.key_resp.rt,trials_3.key_resp.duration,trials_2.resp.keys,trials_2.resp.rt,trials_2.resp.duration,trials_4.key_resp.keys,trials_4.key_resp.rt,trials_4.key_resp.duration,Thank_you.started,text.started,text.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01524,0.0328797,0.0328797,1.1416428,space,1.0987882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
0,0,0,space,0.2422931,None,,,,0,0,0,0,,,,,,,,,,,,,1.1499877,,,,,,,,,1.1422284,1.1499877,2.1505808,2.1505808,2.1505808,2.4017763,space,0.2422931,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
1,0,1,space,0.1860007,None,,,,1,0,1,0,,,,,,,,,,,,,2.4170946,,,,,,,,,2.4021906,2.4170946,3.417861,3.417861,3.417861,3.6182618,space,0.1860007,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
2,0,2,space,0.2141378,None,,,,2,0,2,0,,,,,,,,,,,,,3.6340389,,,,,,,,,3.6184887,3.6340389,4.6344605,4.6176878,4.6176878,4.8365034,space,0.2141378,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
3,0,3,space,0.1344778,None,,,,3,0,3,0,,,,,,,,,,,,,4.850172,,,,,,,,,4.8367443,4.850172,5.8506432,5.8506432,5.8506432,6.0016824,space,0.1344778,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
4,0,4,space,0.2313852,None,,,,4,0,4,0,,,,,,,,,,,,,6.0175654,,,,,,,,,6.0020863,6.0175654,7.0185868,7.0185868,7.0185868,7.2510183,space,0.2313852,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
5,0,5,space,0.0744735,None,,,,5,0,5,0,,,,,,,,,,,,,7.2665873,,,,,,,,,7.2513309,7.2665873,8.2675335,8.2503377,8.2503377,8.333211,space,0.0744735,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
6,0,6,space,0.1894876,None,,,,6,0,6,0,,,,,,,,,,,,,8.3492522,,,,,,,,,8.3333314,8.3492522,9.3511902,9.3339123,9.3339123,9.5351907,space,0.1894876,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
7,0,7,space,0.1688257,None,,,,7,0,7,0,,,,,,,,,,,,,9.5499626,,,,,,,,,9.5355337,9.5499626,10.5505485,10.5505485,10.5505485,10.7344096,space,0.1688257,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
8,0,8,space,0.184988,None,,,,8,0,8,0,,,,,,,,,,,,,10.7494827,,,,,,,,,10.7346109,10.7494827,11.7501193,11.7501193,11.7501193,11.9505058,space,0.184988,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
9,0,9,space,0.2175197,None,,,,9,0,9,0,,,,,,,,,,,,,11.9670917,,,,,,,,,11.9506694,11.9670917,12.967793,12.9504108,12.9504108,13.1841179,space,0.2175197,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
10,0,10,space,0.1914806,None,,,,10,0,10,0,,,,,,,,,,,,,13.1996197,,,,,,,,,13.1843777,13.1996197,14.200773,14.1844509,14.1844509,14.3846453,space,0.1914806,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
11,0,11,space,0.1916836,None,,,,11,0,11,0,,,,,,,,,,,,,14.3996895,,,,,,,,,14.3848739,14.3996895,15.4011615,15.3848748,15.3848748,15.5859783,space,0.1916836,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
12,0,12,space,0.2257747,None,,,,12,0,12,0,,,,,,,,,,,,,15.5995108,,,,,,,,,15.5862451,15.5995108,16.6018035,16.6018035,16.6018035,16.8331148,space,0.2257747,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
13,0,13,space,0.1438462,None,,,,13,0,13,0,,,,,,,,,,,,,16.8492805,,,,,,,,,16.8332334,16.8492805,17.8502955,17.8339723,17.8339723,17.9841804,space,0.1438462,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
14,0,14,space,0.2021874,None,,,,14,0,14,0,,,,,,,,,,,,,17.9999995,,,,,,,,,17.9844667,17.9999995,19.0008727,19.0008727,19.0008727,19.2192182,space,0.2021874,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
15,0,15,space,0.0646009,None,,,,15,0,15,0,,,,,,,,,,,,,19.2331568,,,,,,,,,19.2195216,19.2331568,20.2341775,20.2341775,20.2341775,20.3014345,space,0.0646009,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
16,0,16,space,0.2054658,None,,,,16,0,16,0,,,,,,,,,,,,,20.3160433,,,,,,,,,20.301651,20.3160433,21.3190253,21.3015464,21.3015464,21.5187742,space,0.2054658,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
17,0,17,space,0.2053021,None,,,,17,0,17,0,,,,,,,,,,,,,21.5325453,,,,,,,,,21.5191377,21.5325453,22.5334581,22.5334581,22.5334581,22.7510607,space,0.2053021,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
18,0,18,space,0.1695784,None,,,,18,0,18,0,,,,,,,,,,,,,22.7661122,,,,,,,,,22.7513745,22.7661122,23.7673889,23.7498416,23.7498416,23.9345484,space,0.1695784,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
19,0,19,space,0.1222908,None,,,,19,0,19,0,,,,,,,,,,,,,23.9493973,,,,,,,,,23.9348998,23.9493973,24.9503535,24.9334181,24.9334181,25.067807,space,0.1222908,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
20,0,20,space,0.1908825,None,,,,20,0,20,0,,,,,,,,,,,,,25.0840618,,,,,,,,,25.0680365,25.0840618,26.0838464,26.0838464,26.0838464,26.2841367,space,0.1908825,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
21,0,21,space,0.2266009,None,,,,21,0,21,0,,,,,,,,,,,,,26.299702,,,,,,,,,26.2843631,26.299702,27.3000904,27.2832907,27.2832907,27.5163352,space,0.2266009,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
22,0,22,space,0.1360409,None,,,,22,0,22,0,,,,,,,,,,,,,27.5329549,,,,,,,,,27.5164686,27.5329549,28.5332729,28.517358,28.517358,28.6673949,space,0.1360409,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
23,0,23,space,0.1812376,None,,,,23,0,23,0,,,,,,,,,,,,,28.6822666,,,,,,,,,28.6676048,28.6822666,29.6827529,29.6827529,29.6827529,29.8689647,space,0.1812376,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
24,0,24,space,0.1777792,None,,,,24,0,24,0,,,,,,,,,,,,,29.882761,,,,,,,,,29.8693257,29.882761,30.8835101,30.8835101,30.8835101,31.0677404,space,0.1777792,None,,,,,,,,,,,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
0,0,0,,,,space,0.158509,None,,,,,0,0,0,0,,,,,,,,,31.082365,,,,,,,,,,,,,,,,,,31.0705275,31.082365,32.5832063,32.58332457,32.5832063,33.1167916,33.2505509,space,0.658509,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
1,0,1,,,,space,0.1507458,None,,,,,1,0,1,0,,,,,,,,,33.2665155,,,,,,,,,,,,,,,,,,33.2522485,33.2665155,34.7668637,34.74990287,34.7500441,,34.9180107,space,0.1507458,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
2,0,2,,,,space,0.250447,None,,,,,2,0,2,0,,,,,,,,,34.9485711,,,,,,,,,,,,,,,,,,34.9378142,34.9485711,36.4501796,36.45031007,36.4501796,,36.7172708,space,0.250447,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
3,0,3,,,,space,0.2278585,None,,,,,3,0,3,0,,,,,,,,,36.7483832,,,,,,,,,,,,,,,,,,36.7373287,36.7483832,38.2486352,38.24894267,38.2486352,,38.4842775,space,0.2278585,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
4,0,4,,,,space,0.1909034,None,,,,,4,0,4,0,,,,,,,,,38.5155414,,,,,,,,,,,,,,,,,,38.4976514,38.5155414,40.0157274,39.99990297,39.9998936,,40.200549,space,0.1909034,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
5,0,5,,,,space,0.2236538,None,,,,,5,0,5,0,,,,,,,,,40.2313035,,,,,,,,,,,,,,,,,,40.2177933,40.2313035,41.7336054,41.71653397,41.7166786,,41.9505929,space,0.2236538,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
6,0,6,,,,space,0.2043051,None,,,,,6,0,6,0,,,,,,,,,41.9815656,,,,,,,,,,,,,,,,,,41.9685511,41.9815656,43.4833045,43.48352697,43.4833045,,43.7003155,space,0.2043051,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
7,0,7,,,,space,0.1070013,None,,,,,7,0,7,0,,,,,,,,,43.7315245,,,,,,,,,,,,,,,,,,43.7162846,43.7315245,45.2334891,45.21656997,45.2164723,,45.3337226,space,0.1070013,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
8,0,8,,,,space,0.1941349,None,,,,,8,0,8,0,,,,,,,,,45.3649411,,,,,,,,,,,,,,,,,,45.3547397,45.3649411,46.8666888,46.86655367,46.8666888,,47.0669491,space,0.1941349,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
9,0,9,,,,space,0.2440299,None,,,,,9,0,9,0,,,,,,,,,47.0981965,,,,,,,,,,,,,,,,,,47.0849804,47.0981965,48.6007169,48.59939667,48.6007169,,48.8496273,space,0.2440299,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
10,0,10,,,,space,0.2601412,None,,,,,10,0,10,0,,,,,,,,,48.8813085,,,,,,,,,,,,,,,,,,48.8674442,48.8813085,50.3829643,50.36595027,50.3664739,,50.6324554,space,0.2601412,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
11,0,11,,,,space,0.2410931,None,,,,,11,0,11,0,,,,,,,,,50.664112,,,,,,,,,,,,,,,,,,50.6441944,50.664112,52.1667398,52.14961697,52.1492556,,52.4011222,space,0.2410931,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
12,0,12,,,,space,0.1782396,None,,,,,12,0,12,0,,,,,,,,,52.4314745,,,,,,,,,,,,,,,,,,52.4196361,52.4314745,53.932938,53.93348507,53.932938,,54.1173723,space,0.1782396,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
13,0,13,,,,space,0.2196934,None,,,,,13,0,13,0,,,,,,,,,54.1477383,,,,,,,,,,,,,,,,,,54.1383292,54.1477383,55.649592,55.64950687,55.649592,,55.8833945,space,0.2196934,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
14,0,14,,,,space,0.2432901,None,,,,,14,0,14,0,,,,,,,,,55.9144436,,,,,,,,,,,,,,,,,,55.8995774,55.9144436,57.4166003,57.39955777,57.3994668,,57.6501845,space,0.2432901,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
15,0,15,,,,space,0.2129886,None,,,,,15,0,15,0,,,,,,,,,57.6816411,,,,,,,,,,,,,,,,,,57.6645839,57.6816411,59.1838643,59.16482527,59.1662867,,59.3837592,space,0.2129886,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
16,0,16,,,,space,0.2319273,None,,,,,16,0,16,0,,,,,,,,,59.4147433,,,,,,,,,,,,,,,,,,59.3969451,59.4147433,60.916307,60.89980837,60.899169,,61.1337258,space,0.2319273,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
17,0,17,,,,space,0.20192,None,,,,,17,0,17,0,,,,,,,,,61.16412,,,,,,,,,,,,,,,,,,61.1545181,61.16412,62.6670538,62.66600117,62.6670538,,62.8836923,space,0.20192,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
18,0,18,,,,space,0.2858527,None,,,,,18,0,18,0,,,,,,,,,62.9147201,,,,,,,,,,,,,,,,,,62.896934,62.9147201,64.4159221,64.39984037,64.3994754,,64.6997277,space,0.2858527,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
19,0,19,,,,space,0.2187938,None,,,,,19,0,19,0,,,,,,,,,64.7309203,,,,,,,,,,,,,,,,,,64.7201095,64.7309203,66.2323825,66.23332907,66.2323825,,66.4663818,space,0.2187938,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
20,0,20,,,,space,0.2254941,None,,,,,20,0,20,0,,,,,,,,,66.497797,,,,,,,,,,,,,,,,,,66.4765698,66.497797,67.9983311,67.98194637,67.9819746,,68.2152117,space,0.2254941,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
21,0,21,,,,space,0.2363702,None,,,,,21,0,21,0,,,,,,,,,68.2471552,,,,,,,,,,,,,,,,,,68.2351866,68.2471552,69.7484298,69.74836287,69.7484298,,69.9990184,space,0.2363702,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
22,0,22,,,,space,0.2479816,None,,,,,22,0,22,0,,,,,,,,,70.0317655,,,,,,,,,,,,,,,,,,70.015966,70.0317655,71.5321623,71.51534627,71.516323,,71.7654546,space,0.2479816,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
23,0,23,,,,space,0.124649,None,,,,,23,0,23,0,,,,,,,,,71.7971089,,,,,,,,,,,,,,,,,,71.7766221,71.7971089,73.2988855,73.28306577,73.2831205,,73.4173154,space,0.124649,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
24,0,24,,,,space,0.2268373,None,,,,,24,0,24,0,,,,,,,,,73.4477274,,,,,,,,,,,,,,,,,,73.4345956,73.4477274,74.9492197,74.93417477,74.9329431,,75.1661274,space,0.2268373,None,,,,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
0,0,0,space,0.4660118,None,,,,,,,,,,,,0,0,0,0,,,,,75.1977781,,,,,,,,,75.1863624,75.1977781,76.1987155,76.1987155,76.1987155,76.6683628,,,,,,,,,,,,,,space,0.4660118,None,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
1,0,1,space,0.2905898,None,,,,,,,,,,,,1,0,1,0,,,,,76.6817283,,,,,,,,,76.6687173,76.6817283,77.6836002,77.6836002,77.6836002,77.9832589,,,,,,,,,,,,,,space,0.2905898,None,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
2,0,2,space,0.265549,None,,,,,,,,,,,,2,0,2,0,,,,,77.9989863,,,,,,,,,77.9835924,77.9989863,78.9998621,78.9998621,78.9998621,79.2668345,,,,,,,,,,,,,,space,0.265549,None,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
3,0,3,space,0.3516837,None,,,,,,,,,,,,3,0,3,0,,,,,79.2820915,,,,,,,,,79.2671879,79.2820915,80.2818783,80.2818783,80.2818783,80.6343178,,,,,,,,,,,,,,space,0.3516837,None,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
4,0,4,space,0.2599482,None,,,,,,,,,,,,4,0,4,0,,,,,80.6486869,,,,,,,,,80.6347373,80.6486869,81.6496246,81.6496246,81.6496246,81.9171564,,,,,,,,,,,,,,space,0.2599482,None,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
5,0,5,space,0.2737038,None,,,,,,,,,,,,5,0,5,0,,,,,81.9319676,,,,,,,,,81.91753,81.9319676,82.9328915,82.9328915,82.9328915,83.2168936,,,,,,,,,,,,,,space,0.2737038,None,,,,,,,,2,1,2025-11-08_17h48.22.332,Cross-Modal Reaction Time Task,,2025.01.01,60.02080327,2025-11-08 17h48.28.824875 +0530
