study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
cushion,0,0,0,1,5.242419000016525,,,,,,,,,,,,0,0,0,1,,,,,0.04018420004285872,,0.018424500012770295,0.04018420004285872,0.04018420004285872,5.277227100217715,1,5.242419000016525,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
t-shirt,1,1,0,1,1.045361900003627,,,,,,,,,,,,0,1,1,7,,,,,5.308206700021401,,5.28356060013175,5.308206700021401,5.308206700021401,6.343672099988908,1,1.045361900003627,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
cruise,2,2,0,1,1.1789184000808746,,,,,,,,,,,,0,2,2,11,,,,,6.358249200042337,,6.34869180014357,6.358249200042337,6.358249200042337,7.543195100035518,1,1.1789184000808746,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
mouse ,3,3,0,1,0.9147942999843508,,,,,,,,,,,,0,3,3,8,,,,,7.5587912001647055,,7.5453749999869615,7.5587912001647055,7.5587912001647055,8.476507600164041,1,0.9147942999843508,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
pastry,4,4,0,1,0.8486331000458449,,,,,,,,,,,,0,4,4,9,,,,,8.491892100078985,,8.4808023001533,8.491892100078985,8.491892100078985,9.344205200206488,1,0.8486331000458449,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
book,5,5,0,1,0.8618115000426769,,,,,,,,,,,,0,5,5,0,,,,,9.358978100121021,,9.348172700032592,9.358978100121021,9.358978100121021,10.226499699987471,1,0.8618115000426769,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
marble,6,6,0,1,0.7482253999914974,,,,,,,,,,,,0,6,6,3,,,,,10.242006000131369,,10.228472999995574,10.242006000131369,10.242006000131369,10.995765600120649,1,0.7482253999914974,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
board,7,7,0,1,0.7782060001045465,,,,,,,,,,,,0,7,7,4,,,,,11.008348000003025,,10.998632100177929,11.008348000003025,11.008348000003025,11.793588100001216,1,0.7782060001045465,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
case,8,8,0,1,0.7308990999590605,,,,,,,,,,,,0,8,8,10,,,,,11.808668800164014,,11.796017399989069,11.808668800164014,11.808668800164014,12.542223300086334,1,0.7308990999590605,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
laptop,9,9,0,1,0.7503792000934482,,,,,,,,,,,,0,9,9,5,,,,,12.558495000004768,,12.543910700129345,12.558495000004768,12.558495000004768,13.309344500070438,1,0.7503792000934482,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
phone ,10,10,0,1,0.7816928999964148,,,,,,,,,,,,0,10,10,2,,,,,13.32449260004796,,13.312831800198182,13.32449260004796,13.32449260004796,14.109616100089625,1,0.7816928999964148,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
chart,11,11,0,1,0.7323113000020385,,,,,,,,,,,,0,11,11,6,,,,,14.125056000193581,,14.112077600089833,14.125056000193581,14.125056000193581,14.860149700194597,1,0.7323113000020385,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
keys,12,12,0,1,0.7301227001007646,,,,,,,,,,,,0,12,12,13,,,,,14.875729900086299,,14.863279400160536,14.875729900086299,14.875729900086299,15.60941160004586,1,0.7301227001007646,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
poster,13,13,0,1,0.7166779001709074,,,,,,,,,,,,0,13,13,14,,,,,15.62473260005936,,15.611712299985811,15.62473260005936,15.62473260005936,16.343300300184637,1,0.7166779001709074,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
police,14,14,0,1,0.6985687001142651,,,,,,,,,,,,0,14,14,12,,,,,16.358543900074437,,16.34553400008008,16.358543900074437,16.358543900074437,17.0620235002134,1,0.6985687001142651,,,,,,,,,,,,,,,,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
,0,0,0,,,p_li_e,police,old,"police
",[np.float64(0.04888888888888889)],[np.float64(-0.2822222222222222)],[1],[0],[0],[4.388978800037876],['text_3'],,,,,0,0,0,7,17.093015300109982,,,,,,,,17.070091500179842,17.093015300109982,17.093015300109982,17.093015300109982,0.008048299932852387,21.459272100124508,"police
",[np.float64(0.04888888888888889)],[np.float64(-0.2822222222222222)],[1],[0],[0],[4.388978800037876],['text_3'],,,,,002,001,2025-10-09_12h43.18.112,Word Priming,,2025.1.1,60.04224573822837,2025-10-09 12h43.30.473148 +0530,
