thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Instruction.started,instruction.started,instr_resp.started,Instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,visual_2.started,Fixation_1.started,polygon_2.started,resp.started,Fixation_1.stopped,visual_2.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,Audio.started,Fixation_2.started,sound_1.started,key_resp.started,Fixation_2.stopped,Audio.stopped,trials_3.key_resp.keys,trials_3.key_resp.rt,trials_3.key_resp.duration,trials_2.resp.keys,trials_2.resp.rt,trials_2.resp.duration,trials_4.key_resp.keys,trials_4.key_resp.rt,trials_4.key_resp.duration,Thank_you.started,text.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009126499993726611,0.027211899869143963,0.027211899869143963,5.387809699866921,space,5.271009600022808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2025-11-08_18h08.01.969,Cross-Modal Reaction Time Task,,2025.1.1,59.57519312513959,2025-11-08 18h08.11.652551 +0530,
0,0,0,space,0.23783750017173588,None,,,,0,0,0,0,,,,,,,,,,,,,5.408787099877372,,,,,,,,,5.388116399990395,5.408787099877372,6.394527199910954,6.394527199910954,6.4114169999957085,6.644873999990523,space,0.23783750017173588,None,,,,,,,,,,,,,,,,,,,003,001,2025-11-08_18h08.01.969,Cross-Modal Reaction Time Task,,2025.1.1,59.57519312513959,2025-11-08 18h08.11.652551 +0530,
1,0,1,space,0.2215297999791801,None,,,,1,0,1,0,,,,,,,,,,,,,6.66078279982321,,,,,,,,,6.645293799927458,6.66078279982321,7.644755200017244,7.644755200017244,7.66141920001246,7.878961599897593,space,0.2215297999791801,None,,,,,,,,,,,,,,,,,,,003,001,2025-11-08_18h08.01.969,Cross-Modal Reaction Time Task,,2025.1.1,59.57519312513959,2025-11-08 18h08.11.652551 +0530,
2,0,2,space,0.23472980014048517,None,,,,2,0,2,0,,,,,,,,,,,,,7.894528499804437,,,,,,,,,7.879365099826828,7.894528499804437,8.893404699862003,8.893404699862003,8.893404699862003,9.144330899929628,space,0.23472980014048517,None,,,,,,,,,,,,,,,,,,,003,001,2025-11-08_18h08.01.969,Cross-Modal Reaction Time Task,,2025.1.1,59.57519312513959,2025-11-08 18h08.11.652551 +0530,
3,0,3,space,0.2205201000906527,None,,,,3,0,3,0,,,,,,,,,,,,,9.160193599993363,,,,,,,,,9.14445020002313,9.160193599993363,10.145666599972174,10.145666599972174,10.161272799829021,10.378394200000912,space,0.2205201000906527,None,,,,,,,,,,,,,,,,,,,003,001,2025-11-08_18h08.01.969,Cross-Modal Reaction Time Task,,2025.1.1,59.57519312513959,2025-11-08 18h08.11.652551 +0530,
4,0,4,space,0.2313118998426944,None,,,,4,0,4,0,,,,,,,,,,,,,10.394310100004077,,,,,,,,,10.378613999811932,10.394310100004077,11.378003399819136,11.378003399819136,11.394803799921647,11.611775199882686,space,0.2313118998426944,None,,,,,,,,,,,,,,,,,,,003,001,2025-11-08_18h08.01.969,Cross-Modal Reaction Time Task,,2025.1.1,59.57519312513959,2025-11-08 18h08.11.652551 +0530,
5,0,5,space,0.19616200006566942,None,,,,5,0,5,0,,,,,,,,,,,,,11.627383799990639,,,,,,,,,11.612008400028571,11.627383799990639,12.628749799914658,12.628749799914658,12.628749799914658,12.829118499998003,space,0.19616200006566942,None,,,,,,,,,,,,,,,,,,,003,001,2025-11-08_18h08.01.969,Cross-Modal Reaction Time Task,,2025.1.1,59.57519312513959,2025-11-08 18h08.11.652551 +0530,
6,0,6,space,0.18408320005983114,None,,,,6,0,6,0,,,,,,,,,,,,,12.843334099976346,,,,,,,,,12.829468699870631,12.843334099976346,13.84404749982059,13.84404749982059,13.84404749982059,14.043929299805313,space,0.18408320005983114,None,,,,,,,,,,,,,,,,,,,003,001,2025-11-08_18h08.01.969,Cross-Modal Reaction Time Task,,2025.1.1,59.57519312513959,2025-11-08 18h08.11.652551 +0530,
7,0,7,space,0.2144929999485612,None,,,,7,0,7,0,,,,,,,,,,,,,14.061190899927169,,,,,,,,,14.04412219999358,14.061190899927169,15.044216600013897,15.044216600013897,15.061172500019893,15.260369600029662,space,0.2144929999485612,None,,,,,,,,,,,,,,,,,,,003,001,2025-11-08_18h08.01.969,Cross-Modal Reaction Time Task,,2025.1.1,59.57519312513959,2025-11-08 18h08.11.652551 +0530,
8,0,8,space,0.1026089999359101,None,,,,8,0,8,0,,,,,,,,,,,,,15.276341599877924,,,,,,,,,15.260501299984753,15.276341599877924,16.26097729988396,16.26097729988396,16.278179199900478,16.37806889996864,space,0.1026089999359101,None,,,,,,,,,,,,,,,,,,,003,001,2025-11-08_18h08.01.969,Cross-Modal Reaction Time Task,,2025.1.1,59.57519312513959,2025-11-08 18h08.11.652551 +0530,
