reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49,52,30,0,0,0,t,9.746243699919432,None,0,0,0,44,0.3400739999487996,,0.3331329000648111,0.3400739999487996,1.0085978999268264,1.0085978999268264,1.3424943999852985,10.879425199935213,t,9.746243699919432,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
67,69,21,1,1,0,l,0.10163629986345768,None,0,1,1,53,10.906823799945414,,10.88715499988757,10.906823799945414,11.892489799996838,11.892489799996838,11.908239000011235,12.008282499853522,l,0.10163629986345768,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
5,8,365,2,2,0,t,0.05363260000012815,None,0,2,2,78,12.02437900006771,,12.012626099865884,12.02437900006771,13.00944419996813,13.00944419996813,13.026267200009897,13.076024699956179,t,0.05363260000012815,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
5,6,14,3,3,0,t,0.7981036999262869,None,0,3,3,72,13.091768200043589,,13.079810200026259,13.091768200043589,14.075054799905047,14.075054799905047,14.09253520006314,14.878711499972269,t,0.7981036999262869,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
78,79,7,4,4,0,t,0.956418399931863,None,0,4,4,61,14.906547199934721,,14.88548419997096,14.906547199934721,15.892467200057581,15.892467200057581,15.908576000016183,16.859247999964282,t,0.956418399931863,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
35,36,14,5,5,0,l,0.10600060014985502,None,0,5,5,92,16.87476949999109,,16.863573800073937,16.87476949999109,17.858753700042143,17.858753700042143,17.87527920003049,17.97631419985555,l,0.10600060014985502,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
78,79,1,6,6,0,t,0.36780339991673827,None,0,6,6,60,17.99191279988736,,17.981435399968177,17.99191279988736,18.97615149989724,18.97615149989724,18.992911000037566,19.344711299985647,t,0.36780339991673827,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
20,22,60,7,7,0,t,0.0841507997829467,None,0,7,7,85,19.35872310004197,,19.350880400044844,19.35872310004197,20.35845509986393,20.35845509986393,20.35845509986393,20.443084999918938,t,0.0841507997829467,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
5,10,730,8,8,0,l,0.5241855001077056,None,0,8,8,79,20.457967599853873,,20.447582700056955,20.457967599853873,21.44213299988769,21.44213299988769,21.460271199932322,21.975760800065473,l,0.5241855001077056,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
27,54,730,9,9,0,t,0.014619299909099936,None,0,9,9,29,21.991158599965274,,21.980915299849585,21.991158599965274,22.97549179987982,22.97549179987982,22.992870300076902,22.99374599987641,t,0.014619299909099936,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
5,6,30,10,10,0,t,0.4212738999631256,None,0,10,10,74,23.00784459989518,,22.999365099938586,23.00784459989518,24.009255999932066,24.009255999932066,24.009255999932066,24.442775700008497,t,0.4212738999631256,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
20,21,14,11,11,0,t,0.49880019994452596,None,0,11,11,82,24.45801609987393,,24.447541899979115,24.45801609987393,25.458847400033846,25.458847400033846,25.458847400033846,25.960522399982437,t,0.49880019994452596,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
11,13,90,12,12,0,l,0.3507075000088662,None,0,12,12,6,25.9746985998936,,25.966194999869913,25.9746985998936,26.97648030007258,26.97648030007258,26.97648030007258,27.341919099912047,l,0.3507075000088662,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
78,156,730,13,13,0,l,0.4117886999156326,None,0,13,13,69,27.35844049998559,,27.346527899848297,27.35844049998559,28.342305599944666,28.342305599944666,28.35876449989155,28.759415899869055,l,0.4117886999156326,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
67,84,180,14,14,0,l,0.34269799990579486,None,0,14,14,57,28.774826399981976,,28.76465249992907,28.774826399981976,29.75990689988248,29.75990689988248,29.775277300039306,30.10855989996344,l,0.34269799990579486,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
40,41,7,15,15,0,l,0.34363729995675385,None,0,15,15,31,30.124801999889314,,30.112359799910337,30.124801999889314,31.108773299958557,31.108773299958557,31.124741399893537,31.45996390003711,l,0.34363729995675385,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
5,6,90,16,16,0,l,0.28915510000661016,None,0,16,16,76,31.47531810007058,,31.465545099927112,31.47531810007058,32.47522999998182,32.47522999998182,32.47522999998182,32.775755299953744,l,0.28915510000661016,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
35,36,1,17,17,0,l,0.5565472000744194,None,0,17,17,90,32.79095309996046,,32.780863399850205,32.79095309996046,33.77622779994272,33.77622779994272,33.792205499950796,34.34102479997091,l,0.5565472000744194,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
49,74,365,18,18,0,l,0.490872599883005,None,0,18,18,48,34.35723219998181,,34.34421529993415,34.35723219998181,35.34167980006896,35.34167980006896,35.35845549986698,35.84320989996195,l,0.490872599883005,None,003,001,2025-11-04_10h26.50.007,Delay Discounting,,2025.1.1,59.89515949545596,2025-11-04 10h27.00.914042 +0530,
