thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Instruction.started,instruction.started,instr_resp.started,Instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,visual_2.started,Fixation_1.started,polygon_2.started,resp.started,Fixation_1.stopped,visual_2.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,Audio.started,Fixation_2.started,Fixation_2.stopped,sound_1.started,key_resp.started,Audio.stopped,trials_3.key_resp.keys,trials_3.key_resp.rt,trials_3.key_resp.duration,trials_2.resp.keys,trials_2.resp.rt,trials_2.resp.duration,trials_4.key_resp.keys,trials_4.key_resp.rt,trials_4.key_resp.duration,Thank_you.started,text.started,text.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017280400032177567,0.034659599885344505,0.034659599885344505,9.394700899953023,unknown,9.27926109987311,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-11-10_17h08.16.190,Cross-Modal Reaction Time Task,,2025.1.1,60.15497122639764,2025-11-10 17h08.26.162764 +0530,
0,0,0,space,0.46107119997031987,None,,,,0,0,0,0,,,,,,,,,,,,,9.418561599915847,,,,,,,,,9.395034600049257,9.418561599915847,10.403341199969873,10.403341199969873,10.419369600014761,10.870709900045767,space,0.46107119997031987,None,,,,,,,,,,,,,,,,,,,,004,001,2025-11-10_17h08.16.190,Cross-Modal Reaction Time Task,,2025.1.1,60.15497122639764,2025-11-10 17h08.26.162764 +0530,
1,0,1,space,0.22174800001084805,None,,,,1,0,1,0,,,,,,,,,,,,,10.885856200009584,,,,,,,,,10.870977699989453,10.885856200009584,11.869315899908543,11.869315899908543,11.88578339992091,12.103826700011268,space,0.22174800001084805,None,,,,,,,,,,,,,,,,,,,,004,001,2025-11-10_17h08.16.190,Cross-Modal Reaction Time Task,,2025.1.1,60.15497122639764,2025-11-10 17h08.26.162764 +0530,
2,0,2,space,0.20762629993259907,None,,,,2,0,2,0,,,,,,,,,,,,,12.119291899958625,,,,,,,,,12.104045300045982,12.119291899958625,13.102829299867153,13.102829299867153,13.119409400038421,13.320540299871936,space,0.20762629993259907,None,,,,,,,,,,,,,,,,,,,,004,001,2025-11-10_17h08.16.190,Cross-Modal Reaction Time Task,,2025.1.1,60.15497122639764,2025-11-10 17h08.26.162764 +0530,
3,0,3,space,0.23277290002442896,None,,,,3,0,3,0,,,,,,,,,,,,,13.336067100055516,,,,,,,,,13.32081659999676,13.336067100055516,14.318803200032562,14.318803200032562,14.334836799884215,14.553990399930626,space,0.23277290002442896,None,,,,,,,,,,,,,,,,,,,,004,001,2025-11-10_17h08.16.190,Cross-Modal Reaction Time Task,,2025.1.1,60.15497122639764,2025-11-10 17h08.26.162764 +0530,
4,0,4,space,0.2607545000500977,None,,,,4,0,4,0,,,,,,,,,,,,,14.56920240004547,,,,,,,,,14.554198399884626,14.56920240004547,15.569546499988064,15.569546499988064,15.569546499988064,15.835931400069967,space,0.2607545000500977,None,,,,,,,,,,,,,,,,,,,,004,001,2025-11-10_17h08.16.190,Cross-Modal Reaction Time Task,,2025.1.1,60.15497122639764,2025-11-10 17h08.26.162764 +0530,
5,0,5,space,0.26052149990573525,None,,,,5,0,5,0,,,,,,,,,,,,,15.852465800009668,,,,,,,,,15.83614380005747,15.852465800009668,16.851770899957046,16.851770899957046,16.868195899995044,17.118735499912873,space,0.26052149990573525,None,,,,,,,,,,,,,,,,,,,,004,001,2025-11-10_17h08.16.190,Cross-Modal Reaction Time Task,,2025.1.1,60.15497122639764,2025-11-10 17h08.26.162764 +0530,
6,0,6,space,0.27892689988948405,None,,,,6,0,6,0,,,,,,,,,,,,,17.134435300016776,,,,,,,,,17.11885179998353,17.134435300016776,18.11960870004259,18.11960870004259,18.135718900011852,18.404062299989164,space,0.27892689988948405,None,,,,,,,,,,,,,,,,,,,,004,001,2025-11-10_17h08.16.190,Cross-Modal Reaction Time Task,,2025.1.1,60.15497122639764,2025-11-10 17h08.26.162764 +0530,
7,0,7,space,0.2449638000689447,None,,,,7,0,7,0,,,,,,,,,,,,,18.41867689997889,,,,,,,,,18.404341700021178,18.41867689997889,19.419646499911323,19.419646499911323,19.419646499911323,19.670175699982792,space,0.2449638000689447,None,,,,,,,,,,,,,,,,,,,,004,001,2025-11-10_17h08.16.190,Cross-Modal Reaction Time Task,,2025.1.1,60.15497122639764,2025-11-10 17h08.26.162764 +0530,
8,0,8,space,0.2351879000198096,None,,,,8,0,8,0,,,,,,,,,,,,,19.68538359995,,,,,,,,,19.67041589994915,19.68538359995,20.685355599969625,20.685355599969625,20.685355599969625,20.93529889988713,space,0.2351879000198096,None,,,,,,,,,,,,,,,,,,,,004,001,2025-11-10_17h08.16.190,Cross-Modal Reaction Time Task,,2025.1.1,60.15497122639764,2025-11-10 17h08.26.162764 +0530,
