pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,10.4291023,None,0,0,0,0,,,,,0.0239391,,0.0110265,0.0239391,1.0080887,1.0080887,1.0080887,1.0080887,1.0254208,1.5089128,1.5089128,12.0791651,x,1,10.4291023,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
150,v,1,1,0,v,1,0.696153,None,0,1,1,1,,,,,12.090358,,12.0796465,12.090358,13.0929861,13.0929861,13.0929861,13.0929861,13.0929861,13.5922251,13.5922251,14.2933914,v,1,0.696153,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
50,c,2,2,0,c,1,0.4443287,None,0,2,2,2,,,,,14.30873,,14.2939461,14.30873,15.293059,15.293059,15.293059,15.293059,15.3093205,15.8092244,15.8092244,16.2593856,c,1,0.4443287,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-150,z,3,3,0,z,1,0.6616158,None,0,3,3,3,,,,,16.2759759,,16.2599644,16.2759759,17.275209,17.275209,17.275209,17.275209,17.275209,17.7746199,17.7746199,18.4420268,z,1,0.6616158,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-50,x,4,0,1,x,1,0.5661987,None,1,0,4,0,,,,,18.4581849,,18.4424479,18.4581849,19.4589591,19.4589591,19.4589591,19.4589591,19.4589591,19.9410946,19.9410946,20.5095644,x,1,0.5661987,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
150,v,5,1,1,v,1,0.4902873,None,1,1,5,1,,,,,20.5251879,,20.510038,20.5251879,21.5247052,21.5247052,21.5247052,21.5247052,21.5247052,22.0252955,22.0252955,22.5252596,v,1,0.4902873,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
50,c,6,2,1,c,1,0.5649437,None,1,2,6,2,,,,,22.5411585,,22.5256423,22.5411585,23.5245869,23.5245869,23.5245869,23.5245869,23.5420276,24.0405701,24.0405701,24.6088572,c,1,0.5649437,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-150,z,7,3,1,z,1,0.3528228,None,1,3,7,3,,,,,24.6238554,,24.6092169,24.6238554,25.6245168,25.6245168,25.6245168,25.6245168,25.6245168,26.1075685,26.1075685,26.4756462,z,1,0.3528228,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-50,x,8,0,2,x,1,0.4370327,None,2,0,8,0,,,,,26.4905549,,26.4761748,26.4905549,27.4751816,27.4751816,27.4751816,27.4751816,27.4916852,27.9750632,27.9750632,28.4242988,x,1,0.4370327,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
150,v,9,1,2,v,1,0.3235422,None,2,1,9,1,,,,,28.4402211,,28.424517,28.4402211,29.4243391,29.4243391,29.4243391,29.4243391,29.4411757,29.924837,29.924837,30.2585578,v,1,0.3235422,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
50,c,10,2,2,c,1,0.3100722,None,2,2,10,2,,,,,30.2741074,,30.2589362,30.2741074,31.2575449,31.2575449,31.2575449,31.2575449,31.2745328,31.7580113,31.7580113,32.0749957,c,1,0.3100722,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-150,z,11,3,2,z,1,0.3653211,None,2,3,11,3,,,,,32.0907403,,32.0754977,32.0907403,33.0752091,33.0752091,33.0752091,33.0752091,33.0909051,33.5751378,33.5751378,33.942813,z,1,0.3653211,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-50,x,12,0,3,x,1,0.2832395,None,3,0,12,0,,,,,33.957258,,33.9432236,33.957258,34.9567982,34.9567982,34.9567982,34.9567982,34.9567982,35.456885,35.456885,35.742623,x,1,0.2832395,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
150,v,13,1,3,v,1,0.3124722,None,3,1,13,1,,,,,35.7572496,,35.7431735,35.7572496,36.7568567,36.7568567,36.7568567,36.7568567,36.7568567,37.2567584,37.2567584,37.5744186,v,1,0.3124722,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
50,c,14,2,3,c,1,0.3080532,None,3,2,14,2,,,,,37.5901305,,37.5747995,37.5901305,38.5733884,38.5733884,38.5733884,38.5733884,38.5901769,39.0738143,39.0738143,39.3914082,c,1,0.3080532,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-150,z,15,3,3,z,1,0.3534636,None,3,3,15,3,,,,,39.4078186,,39.3918204,39.4078186,40.3910839,40.3910839,40.3910839,40.3910839,40.4076642,40.8905299,40.8905299,41.2579543,z,1,0.3534636,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-50,x,16,0,4,x,1,0.313474,None,4,0,16,0,,,,,41.2738661,,41.2585056,41.2738661,42.2579551,42.2579551,42.2579551,42.2579551,42.2746866,42.7588832,42.7588832,43.0752257,x,1,0.313474,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
150,v,17,1,4,v,1,0.2802282,None,4,1,17,1,,,,,43.0907461,,43.0756217,43.0907461,44.0744771,44.0744771,44.0744771,44.0744771,44.091688,44.5747565,44.5747565,44.8592293,v,1,0.2802282,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
50,c,18,2,4,c,1,0.3101356,None,4,2,18,2,,,,,44.874074,,44.8598664,44.874074,45.8747086,45.8747086,45.8747086,45.8747086,45.8747086,46.3578043,46.3578043,46.676478,c,1,0.3101356,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-150,z,19,3,4,z,1,0.2690826,None,4,3,19,3,,,,,46.6908428,,46.6771867,46.6908428,47.6909418,47.6909418,47.6909418,47.6909418,47.6909418,48.1909617,48.1909617,48.4748192,z,1,0.2690826,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-50,x,20,0,5,c,0,0.3044833,None,5,0,20,0,,,,,48.4919428,,48.4753309,48.4919428,49.4913358,49.4913358,49.4913358,49.4913358,49.5076407,49.9738959,49.9738959,50.2916659,c,0,0.3044833,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
150,v,21,1,5,v,1,0.6496622,None,5,1,21,1,,,,,50.3068185,,50.2920379,50.3068185,51.2916472,51.2916472,51.2916472,51.2916472,51.3076384,51.7909254,51.7909254,52.4413581,v,1,0.6496622,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
50,c,22,2,5,c,1,0.3514244,None,5,2,22,2,,,,,52.4574379,,52.4417547,52.4574379,53.4404134,53.4404134,53.4404134,53.4404134,53.4579841,53.9569227,53.9569227,54.3088817,c,1,0.3514244,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-150,z,23,3,5,z,1,0.6196624,None,5,3,23,3,,,,,54.3232914,,54.3092613,54.3232914,55.3241929,55.3241929,55.3241929,55.3241929,55.3241929,55.8240844,55.8240844,56.4580897,z,1,0.6196624,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-50,x,24,0,6,x,1,0.295928,None,6,0,24,0,,,,,56.4736564,,56.4585071,56.4736564,57.4575234,57.4575234,57.4575234,57.4575234,57.4745502,57.958972,57.958972,58.2581422,x,1,0.295928,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
150,v,25,1,6,v,1,0.351226,None,6,1,25,1,,,,,58.2738866,,58.2586591,58.2738866,59.2574878,59.2574878,59.2574878,59.2574878,59.2741299,59.7580629,59.7580629,60.1233695,v,1,0.351226,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
50,c,26,2,6,c,1,0.3830493,None,6,2,26,2,,,,,60.13975,,60.1236248,60.13975,61.1241503,61.1241503,61.1241503,61.1241503,61.1406987,61.6241428,61.6241428,62.0094078,c,1,0.3830493,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-150,z,27,3,6,z,1,0.328698,None,6,3,27,3,,,,,62.0238152,,62.0098171,62.0238152,63.0245409,63.0245409,63.0245409,63.0245409,63.0245409,63.5246891,63.5246891,63.8576351,z,1,0.328698,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-50,x,28,0,7,x,1,0.3633195,None,7,0,28,0,,,,,63.8730604,,63.8579884,63.8730604,64.8574017,64.8574017,64.8574017,64.8574017,64.8738458,65.3581181,65.3581181,65.726245,x,1,0.3633195,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
150,v,29,1,7,v,1,0.3177141,None,7,1,29,1,,,,,65.7407609,,65.726823,65.7407609,66.7406031,66.7406031,66.7406031,66.7406031,66.7406031,67.2407061,67.2407061,67.5732905,v,1,0.3177141,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
50,c,30,2,7,c,1,0.2918361,None,7,2,30,2,,,,,67.5897051,,67.5735624,67.5897051,68.5730935,68.5730935,68.5730935,68.5730935,68.5897217,69.0727217,69.0727217,69.3738053,c,1,0.2918361,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-150,z,31,3,7,z,1,0.3997007,None,7,3,31,3,,,,,69.3898347,,69.3742792,69.3898347,70.3741328,70.3741328,70.3741328,70.3741328,70.3910472,70.8728937,70.8728937,71.274833,z,1,0.3997007,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-50,x,32,0,8,x,1,0.302278,None,8,0,32,0,,,,,71.2897652,,71.2754162,71.2897652,72.2744717,72.2744717,72.2744717,72.2744717,72.2902091,72.7748771,72.7748771,73.0898487,x,1,0.302278,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
150,v,33,1,8,c,0,0.2839643,None,8,1,33,1,,,,,73.1060939,,73.0901428,73.1060939,74.0914841,74.0914841,74.0914841,74.0914841,74.1070223,74.5907316,74.5907316,74.8755897,c,0,0.2839643,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
50,c,34,2,8,c,1,0.3729357,None,8,2,34,2,,,,,74.8897167,,74.8761062,74.8897167,75.8917717,75.8917717,75.8917717,75.8917717,75.8917717,76.3914769,76.3914769,76.7752033,c,1,0.3729357,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-150,z,35,3,8,z,1,0.3934162,None,8,3,35,3,,,,,76.7909375,,76.7758612,76.7909375,77.7892446,77.7892446,77.7892446,77.7892446,77.805848,78.2898739,78.2898739,78.6890278,z,1,0.3934162,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-50,x,36,0,9,x,1,0.4472302,None,9,0,36,0,,,,,78.7048865,,78.6892513,78.7048865,79.6908169,79.6908169,79.6908169,79.6908169,79.7074179,80.1898016,80.1898016,80.6420183,x,1,0.4472302,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
150,v,37,1,9,v,1,0.4298979,None,9,1,37,1,,,,,80.6561215,,80.6425308,80.6561215,81.6569394,81.6569394,81.6569394,81.6569394,81.6569394,82.1566366,82.1566366,82.5909054,v,1,0.4298979,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
50,c,38,2,9,c,1,0.4213271,None,9,2,38,2,,,,,82.6066862,,82.5915411,82.6066862,83.5899608,83.5899608,83.5899608,83.5899608,83.6069015,84.0896505,84.0896505,84.525448,c,1,0.4213271,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-150,z,39,3,9,z,1,0.386383,None,9,3,39,3,,,,,84.5406196,,84.5259769,84.5406196,85.5403767,85.5403767,85.5403767,85.5403767,85.5403767,86.0408575,86.0408575,86.4395829,z,1,0.386383,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
-50,x,40,0,10,z,0,0.4068006,None,10,0,40,0,,,,,86.4558501,,86.4398606,86.4558501,87.4400885,87.4400885,87.4400885,87.4400885,87.4568411,87.9407415,87.9407415,88.3583026,z,0,0.4068006,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
150,v,41,1,10,v,1,0.7218087,None,10,1,41,1,,,,,88.373661,,88.3588399,88.373661,89.3582604,89.3582604,89.3582604,89.3582604,89.3745947,89.8568597,89.8568597,90.5915563,v,1,0.7218087,None,,,,,4,1,2025-09-29_21h01.47.076,Motor Sequence Learning,,2025.1.1,60.44947813,2025-09-29 21h02.07.006699 +0530
