study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
case,0,0,0,1.951111111,26.9918459,,,,,,,,,,,,0,0,0,10,,,,,0.0491407,,0.0286684,0.0491407,0.0491407,8.0516517,27.0356945,1.951111111,26.9918459,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
mouse ,1,1,0,1.973333333,8.5992644,,,,,,,,,,,,0,1,1,8,,,,,27.0515648,,27.0396683,27.0515648,27.0515648,35.0516604,35.6519599,1.973333333,8.5992644,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
book,2,2,0,1.053333333,3.4997397,,,,,,,,,,,,0,2,2,0,,,,,35.6677855,,35.6540932,35.6677855,35.6677855,,39.1693582,1.053333333,3.4997397,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
phone ,3,3,0,1,10.1258833,,,,,,,,,,,,0,3,3,2,,,,,39.2007701,,39.1780518,39.2007701,39.2007701,47.2012209,49.3188316,1,10.1258833,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
board,4,4,0,1,6.6447987,,,,,,,,,,,,0,4,4,4,,,,,49.3337015,,49.3248488,49.3337015,49.3337015,,55.9849797,1,6.6447987,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
police,5,5,0,3.817777778,3.5140869,,,,,,,,,,,,0,5,5,12,,,,,56.0008474,,55.9886996,56.0008474,56.0008474,,59.5193606,3.817777778,3.5140869,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
poster,6,6,0,2.555555556,12.6965095,,,,,,,,,,,,0,6,6,14,,,,,59.5341235,,59.5228561,59.5341235,59.5341235,67.5340058,72.2355331,2.555555556,12.6965095,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
marble,7,7,0,2.066666667,10.7465876,,,,,,,,,,,,0,7,7,3,,,,,72.2508706,,72.2391477,72.2508706,72.2508706,80.2510039,83.001898,2.066666667,10.7465876,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
keys,8,8,0,2.066666667,4.3618656,,,,,,,,,,,,0,8,8,13,,,,,83.0166261,,83.0075047,83.0166261,83.0166261,,87.3847642,2.066666667,4.3618656,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
cruise,9,9,0,1,4.5634676,,,,,,,,,,,,0,9,9,11,,,,,87.4000567,,87.3885852,87.4000567,87.4000567,,91.9678266,1,4.5634676,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
t-shirt,10,10,0,1,1.3822981,,,,,,,,,,,,0,10,10,7,,,,,91.983247,,91.9728842,91.983247,91.983247,,93.3684556,1,1.3822981,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
laptop,11,11,0,1,1.9972542,,,,,,,,,,,,0,11,11,5,,,,,93.3834943,,93.3715055,93.3834943,93.3834943,,95.3840518,1,1.9972542,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
cushion,12,12,0,1,4.3656181,,,,,,,,,,,,0,12,12,1,,,,,95.399831,,95.387027,95.399831,95.399831,,99.7685822,1,4.3656181,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
pastry,13,13,0,1,1.663677,,,,,,,,,,,,0,13,13,9,,,,,99.7837665,,99.7721607,99.7837665,99.7837665,,101.4515728,1,1.663677,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
chart,14,14,0,4.013333333,3.1322086,,,,,,,,,,,,0,14,14,6,,,,,101.4673768,,101.4538883,101.4673768,101.4673768,,104.6014383,4.013333333,3.1322086,,,,,,,,,,,,,,,,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,0,0,0,,,k_y_,keys,old,keys,[np.float64(0.08222222222222222)],[np.float64(-0.3022222222222222)],[1],[0],[0],[8.308474199846387],['text_3'],,,,,0,0,0,8,104.6330108,,,,,,,,,104.6142556,104.6330108,104.6330108,104.6330108,0.0127975,112.9229986,keys,[np.float64(0.08222222222222222)],[np.float64(-0.3022222222222222)],[1],[0],[0],[8.308474199846387],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,1,1,0,,,v_s_,vase,new,vase,[np.float64(0.08222222222222222)],[np.float64(-0.3022222222222222)],[1],[0],[0],[1.688197299838066],['text_3'],,,,,0,1,1,17,112.9489263,,,,,,,,,112.9286875,112.9489263,112.9489263,112.9489263,0.0055243,114.617134,,[np.float64(0.08222222222222222)],[np.float64(-0.3022222222222222)],[1],[0],[0],[1.688197299838066],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,2,2,0,,,_ha_t,chart,old,,[],[],[],[],[],[],[],,,,,0,2,2,1,114.6328597,,,,,,,,,114.6188782,114.6328597,114.6328597,114.6328597,0.0016684,124.616951,,[],[],[],[],[],[],[],124.6336844,124.6336844,124.6336844,9.9994204,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,3,3,0,,,p_st_r,poster,old,poster,[np.float64(0.014444444444444444)],[np.float64(-0.2811111111111111)],[1],[0],[0],[4.346680099610239],['text_3'],,,,,0,3,3,9,124.6336844,,,,,,,,,124.620246,124.6336844,124.6336844,124.6336844,0.0030608,128.9673267,poster,[np.float64(0.014444444444444444)],[np.float64(-0.2811111111111111)],[1],[0],[0],[4.346680099610239],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
,4,4,0,,,_oo_,book,old,book,[np.float64(-0.035555555555555556)],[np.float64(-0.31222222222222223)],[1],[0],[0],[6.514327500015497],['text_3'],,,,,0,4,4,13,128.9826391,,,,,,,,,128.9702395,128.9826391,128.9826391,128.9826391,0.0027579,135.4849805,book,[np.float64(-0.035555555555555556)],[np.float64(-0.31222222222222223)],[1],[0],[0],[6.514327500015497],['text_3'],,,,,4,1,2025-10-13_16h04.15.841,Word Priming,,2025.1.1,60.59720979,2025-10-13 16h04.24.813406 +0530
