thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Instruction.started,instruction.started,instr_resp.started,Instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,visual_2.started,Fixation_1.started,polygon_2.started,resp.started,Fixation_1.stopped,visual_2.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,Audio.started,Fixation_2.started,sound_1.started,key_resp.started,Fixation_2.stopped,Audio.stopped,trials_3.key_resp.keys,trials_3.key_resp.rt,trials_3.key_resp.duration,sound_1.stopped,trials_2.resp.keys,trials_2.resp.rt,trials_2.resp.duration,trials_4.key_resp.keys,trials_4.key_resp.rt,trials_4.key_resp.duration,Thank_you.started,text.started,text.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012807,0.025041,0.025041,26.2679442,space,26.1653063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
0,0,0,space,0.9014114,None,,,,0,0,0,0,,,,,,,,,,,,,26.2788236,,,,,,,,,26.2683787,26.2788236,27.270552,27.270552,27.2820752,28.1824465,space,0.9014114,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
1,0,1,space,0.6294329,None,,,,1,0,1,0,,,,,,,,,,,,,28.1921224,,,,,,,,,28.1827038,28.1921224,29.1809253,29.1809253,29.1919154,29.8156814,space,0.6294329,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
2,0,2,space,0.3708271,None,,,,2,0,2,0,,,,,,,,,,,,,29.8253385,,,,,,,,,29.8159533,29.8253385,30.8148536,30.8148536,30.8263456,31.1936888,space,0.3708271,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
3,0,3,space,0.3425245,None,,,,3,0,3,0,,,,,,,,,,,,,31.203105,,,,,,,,,31.1939956,31.203105,32.1932985,32.1932985,32.2036523,32.5380888,space,0.3425245,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
4,0,4,space,0.5177232,None,,,,4,0,4,0,,,,,,,,,,,,,32.5472607,,,,,,,,,32.5386158,32.5472607,33.5362113,33.5362113,33.5473633,34.0603383,space,0.5177232,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
5,0,5,space,0.4368513,None,,,,5,0,5,0,,,,,,,,,,,,,34.0695651,,,,,,,,,34.0605997,34.0695651,35.0586641,35.0586641,35.0697048,35.5043086,space,0.4368513,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
6,0,6,space,0.4343906,None,,,,6,0,6,0,,,,,,,,,,,,,35.513853,,,,,,,,,35.5045443,35.513853,36.5040146,36.5040146,36.5151935,36.9489032,space,0.4343906,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
7,0,7,space,0.3186974,None,,,,7,0,7,0,,,,,,,,,,,,,36.9583522,,,,,,,,,36.9491968,36.9583522,37.947628,37.947628,37.9586368,38.2714592,space,0.3186974,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
8,0,8,space,0.2738738,None,,,,8,0,8,0,,,,,,,,,,,,,38.2805504,,,,,,,,,38.2716907,38.2805504,39.2704687,39.2704687,39.2815627,39.5493912,space,0.2738738,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
9,0,9,space,0.526812,None,,,,9,0,9,0,,,,,,,,,,,,,39.5583405,,,,,,,,,39.5496279,39.5583405,40.5485161,40.5485161,40.5590561,41.0814597,space,0.526812,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
10,0,10,space,0.5513901,None,,,,10,0,10,0,,,,,,,,,,,,,41.0914741,,,,,,,,,41.0817324,41.0914741,42.0819755,42.0819755,42.0923392,42.6380291,space,0.5513901,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
11,0,11,space,0.266399,None,,,,11,0,11,0,,,,,,,,,,,,,42.6471589,,,,,,,,,42.6382638,42.6471589,43.6370575,43.6370575,43.6478228,43.9040603,space,0.266399,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
12,0,12,space,0.2337869,None,,,,12,0,12,0,,,,,,,,,,,,,43.9136319,,,,,,,,,43.9042875,43.9136319,44.9029783,44.9029783,44.9147025,45.1383273,space,0.2337869,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
13,0,13,space,0.2217816,None,,,,13,0,13,0,,,,,,,,,,,,,45.1471908,,,,,,,,,45.1386701,45.1471908,46.1367197,46.1367197,46.1483082,46.3598128,space,0.2217816,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
14,0,14,space,0.4941881,None,,,,14,0,14,0,,,,,,,,,,,,,46.3692067,,,,,,,,,46.3600624,46.3692067,47.3594577,47.3594577,47.3702025,47.5594428,space,0.1941881,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
15,0,15,space,0.2065044,None,,,,15,0,15,0,,,,,,,,,,,,,47.5691451,,,,,,,,,47.559676,47.5691451,48.559228,48.559228,48.570332,48.7715958,space,0.2065044,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
16,0,16,space,0.2405837,None,,,,16,0,16,0,,,,,,,,,,,,,48.7815086,,,,,,,,,48.7718875,48.7815086,49.7708418,49.7708418,49.781707,50.015567,space,0.2405837,None,,,,,,,,,,,,,,,,,,,,,5,1,2025-11-17_21h11.00.527,Cross-Modal Reaction Time Task,,2025.01.01,89.96333071,2025-11-17 21h11.16.010311 +0530
