stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,polygon.started,grating.started,key_resp.started,polygon.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.0189695,,0.0065884,0.0189695,0.4974017,0.4974017,0.5203653,0.7982458,4.5842737,right,10,1,1,4.0214375,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
1,2,8,4.5959422,,4.5844094,4.5959422,5.086723,5.086723,5.0980822,5.386024,5.7099565,left,-8,1,1,0.6205857,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
2,2,6,5.7200421,,5.7102598,5.7200421,6.2091981,6.2091981,6.2194866,6.5090872,6.6654154,left,-6,1,1,0.4530482,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
3,2,4,6.6751703,,6.6656547,6.6751703,7.1645094,7.1645094,7.1760753,7.4636767,7.6207044,right,4,1,1,0.4471852,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
4,1,2,7.6303215,,7.6209952,7.6303215,8.1197603,8.1197603,8.1315379,8.4193641,8.8320845,left,-2,0,0,0.707374,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
5,1,3,8.8418244,,8.8323325,8.8418244,9.3297395,9.3297395,9.3411066,9.6310998,9.8242826,right,3,1,1,0.4883431,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
6,1,3,9.8310652,,9.8245255,9.8310652,10.3189669,10.3189669,10.330228,10.6189357,10.7526139,right,3,1,1,0.428513,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
7,1,3,10.7632603,,10.7528545,10.7632603,11.2531019,11.2531019,11.2645694,11.5548747,11.7221209,left,-3,1,1,0.460604,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
8,1,2,11.7326004,,11.7224224,11.7326004,12.2219317,12.2219317,12.2331693,12.5217852,12.6220546,left,-2,1,1,0.3935134,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
9,1,2,12.6332509,,12.6223202,12.6332509,13.1211086,13.1211086,13.1337822,13.4219898,13.577164,right,2,1,1,0.4530452,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
10,1,2,13.5877216,,13.5774227,13.5877216,14.0767425,14.0767425,14.0882043,14.3775968,14.5109067,left,-2,1,1,0.4334177,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
11,0.5,1,14.5207825,,14.5112306,14.5207825,15.0098019,15.0098019,15.0215543,15.3092645,15.3766486,left,-1,0,0,0.3618509,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
12,0.5,1.5,15.3875673,,15.3768992,15.3875673,15.876429,15.876429,15.8875132,16.1769714,16.3441129,left,-1.5,1,1,0.4638883,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
13,0.5,1.5,16.3540617,,16.3443703,16.3540617,16.843438,16.843438,16.8539303,17.1435303,17.3335174,right,1.5,1,1,0.4797226,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
14,0.5,1.5,17.3429629,,17.3337566,17.3429629,17.83076,17.83076,17.8424522,18.1310498,18.2430346,right,1.5,1,1,0.4056264,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
15,0.5,1,18.2526701,,18.2433246,18.2526701,18.7420604,18.7420604,18.7533829,19.0421001,19.1872549,right,1,1,1,0.4420796,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
16,0.5,1,19.1967403,,19.1875071,19.1967403,19.6867922,19.6867922,19.6980778,19.9868366,20.1430468,left,-1,0,0,0.4530569,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
17,0.5,1.5,20.1527989,,20.1433512,20.1527989,20.6421161,20.6421161,20.6534526,20.9422841,21.2421721,right,1.5,1,1,0.5992507,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
18,0.5,1.5,21.2530665,,21.2424397,21.2530665,21.7417959,21.7417959,21.7532245,22.0421916,22.2203559,right,1.5,0,0,0.4724455,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
19,0.5,2,22.2307993,,22.2206081,22.2307993,22.7201786,22.7201786,22.7311695,23.0201369,23.1874148,right,2,1,1,0.457839,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
20,0.5,2,23.1972265,,23.1876854,23.1972265,23.6868108,23.6868108,23.6968285,23.9852664,24.1539432,right,2,1,1,0.4621092,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
21,0.5,2,24.1638482,,24.1542186,24.1638482,24.6532827,24.6532827,24.6643456,24.95298,25.0751634,left,-2,1,1,0.4169352,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
22,0.5,1.5,25.0862928,,25.0754125,25.0862928,25.5753985,25.5753985,25.5864987,25.8752009,26.1985508,right,1.5,1,1,0.6180324,273431,1,2025-09-03_22h07.49.385,adaptive staircase,,2025.1.1,89.64581836,2025-09-03 22h07.50.344350 +0530
