word,font_colour,con_lable,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
BLUE,blue,congruent,b,0,0,0,b,1,3.5571835,None,0,0,0,1,0.138072,,0.1320652,0.138072,0.5094933,0.5094933,0.5094933,1.0098695,4.1812423,b,1,3.5571835,None,444286,10,2025-08-23_16h02.45.691,stroop,,2025.1.1,59.9174456,2025-08-23 16h03.01.567406 +0530
RED,red,congruent,r,3,3,0,r,1,0.5276542,None,0,3,3,0,7.4098223,,7.3986169,7.4098223,7.9097296,7.9097296,7.9097296,8.3931175,8.4445022,r,1,0.5276542,None,444286,10,2025-08-23_16h02.45.691,stroop,,2025.1.1,59.9174456,2025-08-23 16h03.01.567406 +0530
BLUE,blue,congruent,b,5,1,1,b,1,0.6520149,None,1,1,5,1,9.7592856,,9.7492823,9.7592856,10.2432806,10.2432806,10.2432806,10.7429328,10.9107901,b,1,0.6520149,None,444286,10,2025-08-23_16h02.45.691,stroop,,2025.1.1,59.9174456,2025-08-23 16h03.01.567406 +0530
RED,red,congruent,r,6,2,1,r,1,0.4452641,None,1,2,6,0,10.9257463,,10.9149158,10.9257463,11.4262493,11.4262493,11.4262493,,11.8769724,r,1,0.4452641,None,444286,10,2025-08-23_16h02.45.691,stroop,,2025.1.1,59.9174456,2025-08-23 16h03.01.567406 +0530
RED,red,congruent,r,8,0,2,r,1,0.3474974,None,2,0,8,0,12.7933734,,12.78049,12.7933734,13.2763398,13.2763398,13.2763398,,13.6278096,r,1,0.3474974,None,444286,10,2025-08-23_16h02.45.691,stroop,,2025.1.1,59.9174456,2025-08-23 16h03.01.567406 +0530
BLUE,blue,congruent,b,10,2,2,b,1,0.3525386,None,2,2,10,1,14.6090971,,14.5986591,14.6090971,15.1093401,15.1093401,15.1093401,,15.4763288,b,1,0.3525386,None,444286,10,2025-08-23_16h02.45.691,stroop,,2025.1.1,59.9174456,2025-08-23 16h03.01.567406 +0530
BLUE,blue,congruent,b,13,1,3,b,1,0.3877079,None,3,1,13,1,17.2923735,,17.2815657,17.2923735,17.7928009,17.7928009,17.7928009,,18.1936733,b,1,0.3877079,None,444286,10,2025-08-23_16h02.45.691,stroop,,2025.1.1,59.9174456,2025-08-23 16h03.01.567406 +0530
RED,red,congruent,r,14,2,3,r,1,0.3149776,None,3,2,14,0,18.2089358,,18.1967855,18.2089358,18.693015,18.693015,18.693015,,19.0096819,r,1,0.3149776,None,444286,10,2025-08-23_16h02.45.691,stroop,,2025.1.1,59.9174456,2025-08-23 16h03.01.567406 +0530
BLUE,blue,congruent,b,17,1,4,b,1,0.3570148,None,4,1,17,1,20.9263065,,20.9115205,20.9263065,21.4097407,21.4097407,21.4097407,,21.77656,b,1,0.3570148,None,444286,10,2025-08-23_16h02.45.691,stroop,,2025.1.1,59.9174456,2025-08-23 16h03.01.567406 +0530
RED,red,congruent,r,19,3,4,r,1,0.4474957,None,4,3,19,0,22.6592727,,22.6442384,22.6592727,23.1425607,23.1425607,23.1425607,,23.5939138,r,1,0.4474957,None,444286,10,2025-08-23_16h02.45.691,stroop,,2025.1.1,59.9174456,2025-08-23 16h03.01.567406 +0530
