word,font_colour,con_lable,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
RED,red,congruent,r,0,0,0,r,1,1.5781255,None,0,0,0,0,0.2164583,,0.2120491,0.2164583,0.5064505,0.5064505,0.5064505,1.0090568,2.1550524,r,1,1.5781255,None,596661,10,2025-08-26_10h52.49.125,stroop,,2025.1.1,60.05959115,2025-08-26 10h53.01.826362 +0530
BLUE,blue,congruent,b,1,1,0,b,1,0.5812879,None,0,1,1,1,2.1634513,,2.1593193,2.1634513,2.6603708,2.6603708,2.6603708,3.159387,3.2437995,b,1,0.5812879,None,596661,10,2025-08-26_10h52.49.125,stroop,,2025.1.1,60.05959115,2025-08-26 10h53.01.826362 +0530
RED,red,congruent,r,4,0,1,r,1,0.5047382,None,1,0,4,0,5.3429842,,5.3286545,5.3429842,5.8426485,5.8426485,5.8426485,6.3430831,6.3606445,r,1,0.5047382,None,596661,10,2025-08-26_10h52.49.125,stroop,,2025.1.1,60.05959115,2025-08-26 10h53.01.826362 +0530
BLUE,blue,congruent,b,6,2,1,b,1,0.3459054,None,1,2,6,1,7.2090861,,7.1950574,7.2090861,7.7095312,7.7095312,7.7095312,,8.0598745,b,1,0.3459054,None,596661,10,2025-08-26_10h52.49.125,stroop,,2025.1.1,60.05959115,2025-08-26 10h53.01.826362 +0530
BLUE,blue,congruent,b,8,0,2,b,1,0.2841479,None,2,0,8,1,8.9086882,,8.8946742,8.9086882,9.3927458,9.3927458,9.3927458,,9.6774258,b,1,0.2841479,None,596661,10,2025-08-26_10h52.49.125,stroop,,2025.1.1,60.05959115,2025-08-26 10h53.01.826362 +0530
RED,red,congruent,r,9,1,2,r,1,0.3236976,None,2,1,9,0,9.6923471,,9.6806996,9.6923471,10.1766069,10.1766069,10.1766069,,10.5102648,r,1,0.3236976,None,596661,10,2025-08-26_10h52.49.125,stroop,,2025.1.1,60.05959115,2025-08-26 10h53.01.826362 +0530
RED,red,congruent,r,14,2,3,r,1,0.4137137,None,3,2,14,0,13.8262927,,13.8117782,13.8262927,14.3263708,14.3263708,14.3263708,,14.7436463,r,1,0.4137137,None,596661,10,2025-08-26_10h52.49.125,stroop,,2025.1.1,60.05959115,2025-08-26 10h53.01.826362 +0530
BLUE,blue,congruent,b,15,3,3,b,1,0.369839,None,3,3,15,1,14.7587811,,14.7484255,14.7587811,15.242347,15.242347,15.242347,,15.6259539,b,1,0.369839,None,596661,10,2025-08-26_10h52.49.125,stroop,,2025.1.1,60.05959115,2025-08-26 10h53.01.826362 +0530
RED,red,congruent,r,16,0,4,r,1,0.3092086,None,4,0,16,0,15.6420869,,15.628933,15.6420869,16.1255522,16.1255522,16.1255522,,16.4437051,r,1,0.3092086,None,596661,10,2025-08-26_10h52.49.125,stroop,,2025.1.1,60.05959115,2025-08-26 10h53.01.826362 +0530
BLUE,blue,congruent,b,17,1,4,b,1,0.3384205,None,4,1,17,1,16.458841,,16.447104,16.458841,16.9587655,16.9587655,16.9587655,,17.3105013,b,1,0.3384205,None,596661,10,2025-08-26_10h52.49.125,stroop,,2025.1.1,60.05959115,2025-08-26 10h53.01.826362 +0530
