thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,0,up,1,1.658721899962984,None,0,0,0,0,0.023433700087480247,,0.005051800049841404,0.023433700087480247,1.0087241000728682,1.0262530000181869,2.751096500083804,0,up,1,1.658721899962984,None,955209,001,2025-09-06_12h37.51.506,Signal Detection,,2025.1.1,59.70309651995305,2025-09-06 12h37.52.853344 +0530,
1,0,1,0,down,0,0.7578127000015229,None,1,0,1,0,2.772377800079994,,2.75135430006776,2.772377800079994,3.7632274000206962,3.7783214000519365,4.529343100031838,0,down,0,0.7578127000015229,None,955209,001,2025-09-06_12h37.51.506,Signal Detection,,2025.1.1,59.70309651995305,2025-09-06 12h37.52.853344 +0530,
2,0,2,0,up,1,0.6784611999755725,None,2,0,2,0,4.543989200028591,,4.5297498999862,4.543989200028591,5.543817400000989,5.543817400000989,6.2291778000071645,0,up,1,0.6784611999755725,None,955209,001,2025-09-06_12h37.51.506,Signal Detection,,2025.1.1,59.70309651995305,2025-09-06 12h37.52.853344 +0530,
3,0,3,3,down,1,0.5439832999836653,None,3,0,3,0,6.243046300020069,,6.229556799982674,6.243046300020069,7.243172400048934,7.243172400048934,7.793383100070059,3,down,1,0.5439832999836653,None,955209,001,2025-09-06_12h37.51.506,Signal Detection,,2025.1.1,59.70309651995305,2025-09-06 12h37.52.853344 +0530,
4,0,4,-4,down,1,0.6441573000047356,None,4,0,4,0,7.809737600036897,,7.793584500090219,7.809737600036897,8.79498030000832,8.810437000007369,9.446656899992377,-4,down,1,0.6441573000047356,None,955209,001,2025-09-06_12h37.51.506,Signal Detection,,2025.1.1,59.70309651995305,2025-09-06 12h37.52.853344 +0530,
5,0,5,0,up,1,0.5975397999864072,None,5,0,5,0,9.462383100064471,,9.447126900078729,9.462383100064471,10.461573200067505,10.476658100029454,11.061630800017156,0,up,1,0.5975397999864072,None,955209,001,2025-09-06_12h37.51.506,Signal Detection,,2025.1.1,59.70309651995305,2025-09-06 12h37.52.853344 +0530,
6,0,6,-5,down,1,0.5286272999364883,None,6,0,6,0,11.076190000050701,,11.06202110007871,11.076190000050701,12.07631770009175,12.07631770009175,12.612183900084347,-5,down,1,0.5286272999364883,None,955209,001,2025-09-06_12h37.51.506,Signal Detection,,2025.1.1,59.70309651995305,2025-09-06 12h37.52.853344 +0530,
7,0,7,-5,down,1,0.4441153999650851,None,7,0,7,0,12.627520499983802,,12.612571500008926,12.627520499983802,13.610794499982148,13.628714699996635,14.061976700089872,-5,down,1,0.4441153999650851,None,955209,001,2025-09-06_12h37.51.506,Signal Detection,,2025.1.1,59.70309651995305,2025-09-06 12h37.52.853344 +0530,
8,0,8,0,up,1,0.6604965999722481,None,8,0,8,0,14.075867000035942,,14.06243330007419,14.075867000035942,15.076517999987118,15.076517999987118,15.744474000064656,0,up,1,0.6604965999722481,None,955209,001,2025-09-06_12h37.51.506,Signal Detection,,2025.1.1,59.70309651995305,2025-09-06 12h37.52.853344 +0530,
9,0,9,-3,down,1,0.4597396000754088,None,9,0,9,0,15.760832100058906,,15.744914500042796,15.760832100058906,16.743326500058174,16.76232760003768,17.21192949998658,-3,down,1,0.4597396000754088,None,955209,001,2025-09-06_12h37.51.506,Signal Detection,,2025.1.1,59.70309651995305,2025-09-06 12h37.52.853344 +0530,
